player,player_id,season,posteam,full_player_name,position
R.Griffin,32013030-2d30-3033-3031-3038579b9acf,2017,HOU,Ryan Griffin,TE
R.Griffin,32013030-2d30-3033-3031-3038579b9acf,2018,HOU,Ryan Griffin,TE
R.Griffin,32013030-2d30-3033-3031-3038579b9acf,2019,NYJ,Ryan Griffin,TE
R.Gronkowski,32013030-2d30-3032-3736-35363689fbe4,2011,NE,Rob Gronkowski,TE
R.Gronkowski,32013030-2d30-3032-3736-35363689fbe4,2012,NE,Rob Gronkowski,TE
R.Gronkowski,32013030-2d30-3032-3736-35363689fbe4,2013,NE,Rob Gronkowski,TE
R.Gronkowski,32013030-2d30-3032-3736-35363689fbe4,2014,NE,Rob Gronkowski,TE
R.Gronkowski,32013030-2d30-3032-3736-35363689fbe4,2015,NE,Rob Gronkowski,TE
R.Gronkowski,32013030-2d30-3032-3736-35363689fbe4,2016,NE,Rob Gronkowski,TE
R.Gronkowski,32013030-2d30-3032-3736-35363689fbe4,2017,NE,Rob Gronkowski,TE
R.Gronkowski,32013030-2d30-3032-3736-35363689fbe4,2018,NE,Rob Gronkowski,TE
R.Helu,32013030-2d30-3032-3830-3433195f155b,2011,WAS,Roy Helu,RB
R.Helu,32013030-2d30-3032-3830-3433195f155b,2012,WAS,Roy Helu,RB
